"Programme Type","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024"
"Certificates","16520","18350","16610","15190","15770"
"Foundation and Access","795","595","545","595","735"
"Higher Certificates","5630","5245","4705","4080","4155"
"Higher Diplomas","3290","3840","3600","3095","3800"
"Honours Degrees","143745","151515","153915","154945","158785"
"Ordinary Degrees","20195","19295","17770","16085","15750"
"PhD","8890","9530","10030","10520","10780"
"Postgraduate Certificates","3655","4955","4750","4645","4340"
"Postgraduate Diplomas","5245","7165","6860","6860","7490"
"Postgraduate Occasionals","1775","2670","2930","3115","2775"
"Research Masters","1735","1810","1830","1640","1475"
"Taught Masters","25825","28575","29990","28525","31170"
"Undergraduate Diplomas","3535","2970","2845","2325","3440"
"Undergraduate Occasionals","5795","3385","4630","5165","5445"
"Total","246630","259900","261010","256785","265905"
